timestamp;capacitance;temperature;light
;323;167;-27610
;323;167;-28161
;323;166;-28134
;323;166;-28252
;323;167;-27599
;323;166;-28104
;322;166;-28258
;323;167;-27861
;322;166;-28176
;323;166;-27999
;322;166;-28071
;321;167;-27453
;322;167;-27981
;322;167;-27916
;322;166;-27978
;323;167;-28211
;323;167;-27855
;321;166;-27999
;323;166;-28141
;323;167;-27695
;322;166;-28181
;324;167;-27784
;323;167;-28048
;324;166;-28080
;323;166;-28317
;323;167;-27739
;321;166;-27752
;322;166;-28181
;323;167;-27440
;322;166;-28014
;322;167;-27922
;322;167;-27798
;323;166;-27961
;322;167;-27548
;323;166;-27963
;322;167;-27732
;322;167;-27946
;322;167;-27463
;323;167;-27740
;323;166;-27956
;322;166;-28132
;322;167;-27566
;322;166;-28020
;321;166;-27968
;321;167;-27594
;322;167;-27747
;322;167;-27400
;323;166;-28086
;322;166;-27940
;322;167;-27703
;322;166;-28247
;321;167;-27811
;323;166;-28287
;323;166;-27910
;322;166;-28316
;323;166;-31140
;323;166;-31232
;323;167;-31475
;322;167;-31427
;323;166;-31682
;323;166;-31519
;323;166;-28264
;323;166;-30346
;323;167;-27141
;323;166;-27055
;323;166;-27028
;321;166;-26947
;323;166;-26923
;322;166;-27122
;322;165;-27469
;322;165;-27762
;323;165;-28043
;322;164;-28083
;323;164;-27191
;322;164;-27541
;323;164;-27090
;322;163;-27270
;322;163;-27594
;321;163;-27449
;323;163;-27326
;322;162;-27689
;321;162;-27560
;323;162;-27198
;322;161;-27607
;321;161;-27507
;321;160;-27563
;322;160;-27367
;322;159;-27676
;322;159;-27244
;321;159;-26907
;321;159;-26642
;322;159;-26792
;322;159;-26791
;321;158;-26958
;323;158;-27214
;322;158;-26823
;321;157;-27189
;321;157;-27137
;321;156;-26891
;321;156;-26520
;321;155;-26440
;322;156;-26546
;322;155;-26539
;322;155;-26728
;322;155;-26978
;321;154;-27057
;321;154;-26800
;321;154;-27020
;322;154;-26774
;321;153;-26950
;321;153;-26998
;321;153;-27054
;321;153;-27114
;320;153;-27076
;321;152;-26907
;320;152;-27041
;322;152;-26653
;322;150;-27028
;321;150;-26989
;321;150;-26694
;321;150;-26764
;320;150;-26543
;320;149;-26594
;321;149;-26417
;322;150;-26262
;322;149;-26454
;321;149;-26018
;322;149;-26310
;322;149;-26376
;322;148;-26180
;319;148;-26155
;322;148;-25743
;321;148;-26246
;321;147;-26135
;321;147;-25860
;320;147;-26207
;320;147;-26277
;321;147;-26157
;321;147;-26251
;321;147;-26326
;321;146;-26408
;321;146;-26236
;320;146;-26485
;320;146;-26229
;321;146;-26208
;321;146;-26431
;321;146;-26512
;320;145;-26646
;321;146;-26335
;321;145;-26648
;322;145;-26614
;321;145;-26046
;321;144;-26282
;321;144;-26481
;321;144;-26504
;321;144;-26189
;321;144;-26257
;320;144;-26458
;320;144;-26198
;321;144;-26382
;321;143;-29864
;321;143;-29616
;321;143;-29787
;321;143;-29628
;321;143;-29683
;321;143;-29556
;321;143;-29833
;321;143;-29971
;320;143;-29924
;321;143;-29894
;321;143;-30059
;320;143;-29986
;320;142;-29808
;321;142;-29809
;320;142;-29747
;321;142;-29852
;321;142;-29725
;321;142;-29672
;321;142;-29587
;320;142;-29744
;321;141;-29503
;320;141;-29943
;320;141;-29878
;320;141;-29904
;321;141;-29874
;320;141;-29483
;320;141;-29835
;320;141;-29962
;320;140;-29572
;320;141;-29190
;320;140;-29412
;321;140;-29319
;319;140;-29042
;321;140;-29502
;319;140;-29697
;321;140;-29942
;320;140;-29886
;321;140;-29769
;321;139;-29636
;320;139;-29176
;320;139;-29137
;319;139;-29514
;320;139;-29635
;319;139;-29647
;321;139;-29357
;319;138;-29662
;319;139;-28787
;320;139;-28678
;320;138;-28817
;321;138;-28838
